instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,norm_tradingsymbol
4561409,17818,LTIM,LTIMINDTREE,0.0,,0.0,0.5,1,EQ,NSE,NSE,LTIM
4574465,17869,JSWENERGY,JSW ENERGY,0.0,,0.0,0.05,1,EQ,NSE,NSE,JSWENERGY
4576001,17875,GODREJPROP,GODREJ PROPERTIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,GODREJPROP
4583169,17903,ABBOTINDIA,ABBOTT INDIA,0.0,,0.0,5.0,1,EQ,NSE,NSE,ABBOTINDIA
4589313,17927,BAYERCROP,BAYER CROPSCIENCE,0.0,,0.0,0.1,1,EQ,NSE,NSE,BAYERCROP
4592385,17939,HINDCOPPER,HINDUSTAN COPPER,0.0,,0.0,0.05,1,EQ,NSE,NSE,HINDCOPPER
4593921,17945,COHANCE,COHANCE LIFESCIENCES,0.0,,0.0,0.05,1,EQ,NSE,NSE,COHANCE
4596993,17957,MMTC,MMTC,0.0,,0.0,0.01,1,EQ,NSE,NSE,MMTC
4598529,17963,NESTLEIND,NESTLE INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,NESTLEIND
4600577,17971,SBICARD,SBI CARDS & PAY SER,0.0,,0.0,0.05,1,EQ,NSE,NSE,SBICARD
4610817,18011,WHIRLPOOL,WHIRLPOOL OF INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,WHIRLPOOL
4614657,18026,SBFC,SBFC FINANCE,0.0,,0.0,0.01,1,EQ,NSE,NSE,SBFC
4623361,18060,CONCORDBIO,CONCORD BIOTECH,0.0,,0.0,0.1,1,EQ,NSE,NSE,CONCORDBIO
4632577,18096,JUBLFOOD,JUBILANT FOODWORKS,0.0,,0.0,0.05,1,EQ,NSE,NSE,JUBLFOOD
4639745,18124,DBREALTY,VALOR ESTATE,0.0,,0.0,0.01,1,EQ,NSE,NSE,DBREALTY
4644609,18143,JIOFIN,JIO FIN SERVICES,0.0,,0.0,0.05,1,EQ,NSE,NSE,JIOFIN
4701441,18365,PERSISTENT,PERSISTENT SYSTEMS,0.0,,0.0,0.5,1,EQ,NSE,NSE,PERSISTENT
4708097,18391,RBLBANK,RBL BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,RBLBANK
4724993,18457,POWERINDIA,HITACHI ENERGY INDIA,0.0,,0.0,1.0,1,EQ,NSE,NSE,POWERINDIA
4752385,18564,LTTS,L&T TECHNOLOGY SER.,0.0,,0.0,0.1,1,EQ,NSE,NSE,LTTS
4752897,18566,RRKABEL,R R KABEL,0.0,,0.0,0.1,1,EQ,NSE,NSE,RRKABEL
4756737,18581,KIRLOSBROS,KIRLOSKAR BROTHERS,0.0,,0.0,0.1,1,EQ,NSE,NSE,KIRLOSBROS
4774913,18652,ICICIPRULI,ICICI PRU LIFE INS CO,0.0,,0.0,0.05,1,EQ,NSE,NSE,ICICIPRULI
4792577,18721,NUVAMA,NUVAMA WEALTH MANAGE,0.0,,0.0,0.5,1,EQ,NSE,NSE,NUVAMA
4798209,18743,SIGNATURE,SIGNATUREGLOBAL INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,SIGNATURE
4818433,18822,ENDURANCE,ENDURANCE TECHNO.,0.0,,0.0,0.1,1,EQ,NSE,NSE,ENDURANCE
4834049,18883,SJVN,SJVN,0.0,,0.0,0.01,1,EQ,NSE,NSE,SJVN
4840449,18908,PNBHOUSING,PNB HOUSING FIN,0.0,,0.0,0.05,1,EQ,NSE,NSE,PNBHOUSING
4843777,18921,VBL,VARUN BEVERAGES,0.0,,0.0,0.05,1,EQ,NSE,NSE,VBL
4869121,19020,JSWINFRA,JSW INFRASTRUCTURE,0.0,,0.0,0.05,1,EQ,NSE,NSE,JSWINFRA
4879617,19061,MANAPPURAM,MANAPPURAM FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE,MANAPPURAM
4923905,19234,LAURUSLABS,LAURUS LABS,0.0,,0.0,0.05,1,EQ,NSE,NSE,LAURUSLABS
5013761,19585,BSE,BSE,0.0,,0.0,0.1,1,EQ,NSE,NSE,BSE
5039617,19686,BLUEJET,BLUE JET HEALTHCARE,0.0,,0.0,0.05,1,EQ,NSE,NSE,BLUEJET
5072129,19813,HONASA,HONASA CONSUMER - MAMAEARTH,0.0,,0.0,0.05,1,EQ,NSE,NSE,HONASA
5097729,19913,DMART,AVENUE SUPERMARTS,0.0,,0.0,0.1,1,EQ,NSE,NSE,DMART
5105409,19943,DEEPAKNTR,DEEPAK NITRITE,0.0,,0.0,0.1,1,EQ,NSE,NSE,DEEPAKNTR
5177345,20224,JWL,JUPITER WAGONS,0.0,,0.0,0.05,1,EQ,NSE,NSE,JWL
5181953,20242,OBEROIRLTY,OBEROI REALTY,0.0,,0.0,0.1,1,EQ,NSE,NSE,OBEROIRLTY
5186817,20261,IREDA,INDIAN RENEWABLE ENERGY,0.0,,0.0,0.01,1,EQ,NSE,NSE,IREDA
5195009,20293,TATATECH,TATA TECHNOLOGIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,TATATECH
5197313,20302,PRESTIGE,PRESTIGE ESTATE,0.0,,0.0,0.1,1,EQ,NSE,NSE,PRESTIGE
5204225,20329,CGCL,CAPRI GLOBAL CAPITAL,0.0,,0.0,0.01,1,EQ,NSE,NSE,CGCL
5215745,20374,COALINDIA,COAL INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,COALINDIA
5256705,20534,GRAVITA,GRAVITA INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,GRAVITA
5261057,20551,DOMS,DOMS INDUSTRIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,DOMS
5275393,20607,INOXINDIA,INOX INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,INOXINDIA
5331201,20825,HUDCO,HSG & URBAN DEV CORPN,0.0,,0.0,0.01,1,EQ,NSE,NSE,HUDCO
5359617,20936,KIRLOSENG,KIRLOSKAR OIL ENG,0.0,,0.0,0.05,1,EQ,NSE,NSE,KIRLOSENG
5409537,21131,TEJASNET,TEJAS NETWORKS,0.0,,0.0,0.05,1,EQ,NSE,NSE,TEJASNET
5415425,21154,ERIS,ERIS LIFESCIENCES,0.0,,0.0,0.1,1,EQ,NSE,NSE,ERIS
5420545,21174,CDSL,CENTRAL DEPO SER (I),0.0,,0.0,0.1,1,EQ,NSE,NSE,CDSL
5436929,21238,AUBANK,AU SMALL FINANCE BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,AUBANK
5461505,21334,JYOTICNC,JYOTI CNC AUTOMATION,0.0,,0.0,0.05,1,EQ,NSE,NSE,JYOTICNC
5506049,21508,COCHINSHIP,COCHIN SHIPYARD,0.0,,0.0,0.1,1,EQ,NSE,NSE,COCHINSHIP
5533185,21614,ABCAPITAL,ADITYA BIRLA CAPITAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,ABCAPITAL
5552641,21690,DIXON,DIXON TECHNO (INDIA),0.0,,0.0,1.0,1,EQ,NSE,NSE,DIXON
5565441,21740,CHOLAHLDNG,CHOLAMANDALAM FIN HOL,0.0,,0.0,0.1,1,EQ,NSE,NSE,CHOLAHLDNG
5573121,21770,ICICIGI,ICICI LOMBARD GIC,0.0,,0.0,0.1,1,EQ,NSE,NSE,ICICIGI
5582849,21808,SBILIFE,SBI LIFE INSURANCE CO,0.0,,0.0,0.1,1,EQ,NSE,NSE,SBILIFE
5619457,21951,HFCL,HFCL,0.0,,0.0,0.01,1,EQ,NSE,NSE,HFCL
5728513,22377,MAXHEALTH,MAX HEALTHCARE INS,0.0,,0.0,0.1,1,EQ,NSE,NSE,MAXHEALTH
6013185,23489,BHARTIHEXA,BHARTI HEXACOM,0.0,,0.0,0.1,1,EQ,NSE,NSE,BHARTIHEXA
6029569,23553,AIIL,AUTHUM INVEST & INFRA,0.0,,0.0,0.1,1,EQ,NSE,NSE,AIIL
6054401,23650,MUTHOOTFIN,MUTHOOT FINANCE,0.0,,0.0,0.1,1,EQ,NSE,NSE,MUTHOOTFIN
6065409,23693,INDGN,INDEGENE,0.0,,0.0,0.05,1,EQ,NSE,NSE,INDGN
6074625,23729,AADHARHFC,AADHAR HOUSING FINANCE L,0.0,,0.0,0.05,1,EQ,NSE,NSE,AADHARHFC
6077441,23740,TBOTEK,TBO TEK,0.0,,0.0,0.1,1,EQ,NSE,NSE,TBOTEK
6092545,23799,GODIGIT,GO DIGIT GENERAL INS,0.0,,0.0,0.05,1,EQ,NSE,NSE,GODIGIT
6191105,24184,PIIND,PI INDUSTRIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,PIIND
6245889,24398,EMCURE,EMCURE PHARMACEUTICALS L,0.0,,0.0,0.1,1,EQ,NSE,NSE,EMCURE
6327041,24715,AKUMS,AKUMS DRUGS AND PHARMA L,0.0,,0.0,0.05,1,EQ,NSE,NSE,AKUMS
6352385,24814,FIRSTCRY,BRAINBEES SOLUTIONS,0.0,,0.0,0.05,1,EQ,NSE,NSE,FIRSTCRY
6386689,24948,LTF,L&T FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE,LTF
6412545,25049,PREMIERENE,PREMIER ENERGIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,PREMIERENE
6469121,25270,BAJAJHFL,BAJAJ HOUSING FINANCE,0.0,,0.0,0.01,1,EQ,NSE,NSE,BAJAJHFL
6483969,25328,APLLTD,ALEMBIC PHARMA,0.0,,0.0,0.05,1,EQ,NSE,NSE,APLLTD
6491649,25358,PGEL,PG ELECTROPLAST,0.0,,0.0,0.05,1,EQ,NSE,NSE,PGEL
6549505,25584,TRITURBINE,TRIVENI TURBINE,0.0,,0.0,0.05,1,EQ,NSE,NSE,TRITURBINE
6583809,25718,POLYMED,POLY MEDICURE,0.0,,0.0,0.1,1,EQ,NSE,NSE,POLYMED
6599681,25780,APLAPOLLO,APL APOLLO TUBES,0.0,,0.0,0.1,1,EQ,NSE,NSE,APLAPOLLO
6616065,25844,HYUNDAI,HYUNDAI MOTOR INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,HYUNDAI
6629633,25897,MINDACORP,MINDA CORPORATION,0.0,,0.0,0.05,1,EQ,NSE,NSE,MINDACORP
6632193,25907,WAAREEENER,WAAREE ENERGIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,WAAREEENER
6650113,25977,AFCONS,AFCONS INFRASTRUCTURE,0.0,,0.0,0.05,1,EQ,NSE,NSE,AFCONS
6925313,27052,SAGILITY,SAGILITY,0.0,,0.0,0.01,1,EQ,NSE,NSE,SAGILITY
6927617,27061,ACMESOLAR,ACME SOLAR HOLDINGS,0.0,,0.0,0.05,1,EQ,NSE,NSE,ACMESOLAR
6928897,27066,SWIGGY,SWIGGY,0.0,,0.0,0.05,1,EQ,NSE,NSE,SWIGGY
6936321,27095,SWANCORP,SWAN CORP,0.0,,0.0,0.05,1,EQ,NSE,NSE,SWANCORP
6936833,27097,NIVABUPA,NIVA BUPA HEALTH INS CO L,0.0,,0.0,0.01,1,EQ,NSE,NSE,NIVABUPA
6957057,27176,NTPCGREEN,NTPC GREEN ENERGY,0.0,,0.0,0.01,1,EQ,NSE,NSE,NTPCGREEN
7126785,27839,SAILIFE,SAI LIFE SCIENCES,0.0,,0.0,0.05,1,EQ,NSE,NSE,SAILIFE
7160065,27969,VMM,VISHAL MEGA MART,0.0,,0.0,0.01,1,EQ,NSE,NSE,VMM
7200001,28125,IKS,INVENTURUS KNOWLEDGE SO L,0.0,,0.0,0.1,1,EQ,NSE,NSE,IKS
7264769,28378,IGIL,INTERNATIO GEMM INS (I) L,0.0,,0.0,0.05,1,EQ,NSE,NSE,IGIL
7384833,28847,VENTIVE,VENTIVE HOSPITALITY,0.0,,0.0,0.05,1,EQ,NSE,NSE,VENTIVE
7458561,29135,INDUSTOWER,INDUS TOWERS,0.0,,0.0,0.05,1,EQ,NSE,NSE,INDUSTOWER
7481345,29224,ONESOURCE,ONESOURCE SPECL PHARMA L,0.0,,0.0,0.1,1,EQ,NSE,NSE,ONESOURCE
7488257,29251,ITCHOTELS,ITC HOTELS,0.0,,0.0,0.01,1,EQ,NSE,NSE,ITCHOTELS
7539713,29452,AGARWALEYE,DR AGARWALS HEALTH CARE L,0.0,,0.0,0.05,1,EQ,NSE,NSE,AGARWALEYE
7594497,29666,HEXT,HEXAWARE TECHNOLOGIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,HEXT
7707649,30108,ABFRL,ADITYA BIRLA FASHION & RT,0.0,,0.0,0.01,1,EQ,NSE,NSE,ABFRL
7712001,30125,SAMMAANCAP,SAMMAAN CAPITAL,0.0,,0.0,0.01,1,EQ,NSE,NSE,SAMMAANCAP
7977729,31163,RHIM,RHI MAGNESITA INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,RHIM
7982337,31181,MCX,MULTI COMMODITY EXCHANGE,0.0,,0.0,0.5,1,EQ,NSE,NSE,MCX
7995905,31234,SCHNEIDER,SCHNEIDER ELECTRIC INFRA,0.0,,0.0,0.05,1,EQ,NSE,NSE,SCHNEIDER
8042241,31415,NBCC,NBCC (INDIA),0.0,,0.0,0.01,1,EQ,NSE,NSE,NBCC
193751809,756843,ABLBL,ADITYA BIRLA LIFES BRAN L,0.0,,0.0,0.01,1,EQ,NSE,NSE,ABLBL
193758977,756871,ENRIN,SIEMENS ENERGY INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,ENRIN
193795585,757014,THELEELA,LEELA PALACES HOTEL,0.0,,0.0,0.05,1,EQ,NSE,NSE,THELEELA
193878017,757336,AEGISVOPAK,AEGIS VOPAK TERMINALS,0.0,,0.0,0.05,1,EQ,NSE,NSE,AEGISVOPAK
193957121,757645,ATHERENERG,ATHER ENERGY,0.0,,0.0,0.05,1,EQ,NSE,NSE,ATHERENERG
